cited_person_age,citation_time,charge_description,street,month,day_of_week,week_of_year,hour_of_day,place_id,age_breaks
51.0,505,Fail to Stop For Red Signal,N Hayden Rd / E Legacy Bl,7,5,28,5,N Hayden Rd / E Legacy Bl -  xxx,"(50.0, 97.0]"
24.0,1312,Failure to Control Speed to Avoid A Collision,N Scottsdale Rd,7,1,28,13,N Scottsdale Rd - 2xxx,"(17.999, 24.0]"
25.0,37,Fail to Stop For Red Signal,E Frank Lloyd Wright Bl / N Scottsdale Rd,7,6,28,0,E Frank Lloyd Wright Bl / N Scottsdale Rd -  xxx,"(24.0, 29.0]"
45.0,1356,Suspended/Revoked D.L.,E McDowell Rd / N Scottsdale Rd,7,1,29,13,E McDowell Rd / N Scottsdale Rd -  xxx,"(37.0, 50.0]"
67.0,1618,Failure to Control Speed to Avoid A Collision,N Scottsdale Rd / E Shea Bl,7,1,29,16,N Scottsdale Rd / E Shea Bl -  xxx,"(50.0, 97.0]"
23.0,655,Speed Greater Than R&P or Posted,E Mountain View Rd,7,3,28,6,E Mountain View Rd - 7xxx,"(17.999, 24.0]"
45.0,2145,Fail to Obey Traffic Control Device,E Frank Lloyd Wright Bl,7,3,28,21,E Frank Lloyd Wright Bl - 8xxx,"(37.0, 50.0]"
28.0,2323,Expired/No Arizona Registration,E Shea Bl,7,3,28,23,E Shea Bl - 7xxx,"(24.0, 29.0]"
48.0,1852,Expired/No Arizona Registration,E Frank Lloyd Wright Bl / N Scottsdale Rd,7,2,28,18,E Frank Lloyd Wright Bl / N Scottsdale Rd -  xxx,"(37.0, 50.0]"
25.0,1938,Fail to Stop For Red Signal,N Scottsdale Rd / E Shea Bl,7,3,28,19,N Scottsdale Rd / E Shea Bl -  xxx,"(24.0, 29.0]"
46.0,1228,Expired/No Arizona Registration,E Mountain View Rd,7,3,28,12,E Mountain View Rd - 8xxx,"(37.0, 50.0]"
61.0,924,Failure to Control Speed to Avoid A Collision,N 90th St,7,1,29,9,N 90th St - 9xxx,"(50.0, 97.0]"
24.0,1545,Failure to Control Speed to Avoid A Collision,N Pima Rd,7,2,29,15,N Pima Rd - 4xxx,"(17.999, 24.0]"
39.0,209,Suspended/Revoked D.L.,N Scottsdale Rd / E Thomas Rd,7,3,29,2,N Scottsdale Rd / E Thomas Rd -  xxx,"(37.0, 50.0]"
30.0,2303,Suspended/Revoked D.L.,E Cactus Rd,7,2,29,23,E Cactus Rd - 8xxx,"(29.0, 37.0]"
29.0,1908,Expired/No Arizona Registration,N 100th St,7,0,29,19,N 100th St - 1xxx,"(24.0, 29.0]"
28.0,1331,Expired/No Arizona Registration,N Scottsdale Rd,7,5,28,13,N Scottsdale Rd - 7xxx,"(24.0, 29.0]"
20.0,1520,Fail to Obey Traffic Control Device,E Frank Lloyd Wright Bl / N Hayden Rd,7,0,29,15,E Frank Lloyd Wright Bl / N Hayden Rd -  xxx,"(17.999, 24.0]"
70.0,916,Fail to Obey Traffic Control Device,E Frank Lloyd Wright Bl / N Hayden Rd,7,3,28,9,E Frank Lloyd Wright Bl / N Hayden Rd -  xxx,"(50.0, 97.0]"
39.0,2319,Expired/No Arizona Registration,E Frank Lloyd Wright Bl / N Hayden Rd,7,5,28,23,E Frank Lloyd Wright Bl / N Hayden Rd -  xxx,"(37.0, 50.0]"
21.0,948,Speed Greater Than R&P or Posted,E Shea Bl,7,0,28,9,E Shea Bl - 6xxx,"(17.999, 24.0]"
27.0,749,Speed Greater Than R&P or Posted,N Frank Lloyd Wright Bl,7,1,29,7,N Frank Lloyd Wright Bl - 1xxx,"(24.0, 29.0]"
48.0,1859,No Proof of Insurance,E Indian School Rd,7,4,28,18,E Indian School Rd - 7xxx,"(37.0, 50.0]"
42.0,725,Speed Greater Than R&P or Posted,E Redfield Rd,7,3,28,7,E Redfield Rd - 7xxx,"(37.0, 50.0]"
33.0,1517,Speed Greater Than R&P or Posted,N 64th St,7,4,28,15,N 64th St - 2xxx,"(29.0, 37.0]"
60.0,739,Speed Greater Than R&P or Posted,E Redfield Rd,7,3,28,7,E Redfield Rd - 7xxx,"(50.0, 97.0]"
26.0,820,Speed Greater Than R&P or Posted,E Thomas Rd,7,2,28,8,E Thomas Rd - 8xxx,"(24.0, 29.0]"
28.0,841,Speed Greater Than R&P or Posted,E Thomas Rd,7,2,28,8,E Thomas Rd - 8xxx,"(24.0, 29.0]"
40.0,1818,Speed Greater Than R&P or Posted,N Scottsdale Rd,7,3,28,18,N Scottsdale Rd - 1xxx,"(37.0, 50.0]"
31.0,2240,No Proof of Insurance,E Indian School Rd,7,4,28,22,E Indian School Rd - 8xxx,"(29.0, 37.0]"
21.0,2110,Speed Greater Than R&P or Posted,E Shea Bl,7,3,28,21,E Shea Bl - 7xxx,"(17.999, 24.0]"
37.0,850,No Proof of Insurance,E Indian School Rd,7,4,28,8,E Indian School Rd - 6xxx,"(29.0, 37.0]"
51.0,2220,Expired/No Arizona Registration,E Camelback Rd / N Scottsdale Rd,7,3,28,22,E Camelback Rd / N Scottsdale Rd -  xxx,"(50.0, 97.0]"
54.0,239,DUI-Impaired to Slightest Degree,N Hayden Rd / E Indian School Rd,7,6,28,2,N Hayden Rd / E Indian School Rd -  xxx,"(50.0, 97.0]"
30.0,715,Speed Greater Than R&P or Posted,N Scottsdale Rd,7,2,28,7,N Scottsdale Rd - 2xxx,"(29.0, 37.0]"
21.0,748,Speed Greater Than R&P or Posted,N Scottsdale Rd,7,2,28,7,N Scottsdale Rd - 2xxx,"(17.999, 24.0]"
50.0,849,Speed Greater Than R&P or Posted,E Chaparral Rd,7,2,28,8,E Chaparral Rd - 7xxx,"(37.0, 50.0]"
33.0,2348,DUI-Impaired to Slightest Degree,E Indian School Rd,7,4,28,23,E Indian School Rd - 7xxx,"(29.0, 37.0]"
29.0,702,Speed Greater Than R&P or Posted,E Raintree DR,7,2,28,7,E Raintree DR - 8xxx,"(24.0, 29.0]"
34.0,1256,Expired/No Arizona Registration,E Shea Bl,3,3,12,12,E Shea Bl - 6xxx,"(29.0, 37.0]"
27.0,1209,No Proof of Insurance,E Indian Bend Rd,3,4,11,12,E Indian Bend Rd - 7xxx,"(24.0, 29.0]"
22.0,843,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,0,12,8,E Indian Bend Rd - 7xxx,"(17.999, 24.0]"
29.0,904,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,0,12,9,E Indian Bend Rd - 7xxx,"(24.0, 29.0]"
40.0,1429,Speed Greater Than R&P or Posted,E Indian School Rd,3,0,12,14,E Indian School Rd - 6xxx,"(37.0, 50.0]"
62.0,1310,Speed Greater Than R&P or Posted,N Pima Rd,3,2,12,13,N Pima Rd - 2xxx,"(50.0, 97.0]"
26.0,1807,DUI-Impaired to Slightest Degree,E Indian School Rd,3,6,11,18,E Indian School Rd - 7xxx,"(24.0, 29.0]"
42.0,1001,Speed Greater Than R&P or Posted,N Scottsdale Rd,3,3,12,10,N Scottsdale Rd - 8xxx,"(37.0, 50.0]"
28.0,735,Expired/No Arizona Registration,E Indian School Rd,3,1,13,7,E Indian School Rd - 7xxx,"(24.0, 29.0]"
20.0,2257,Speed Greater Than R&P or Posted,N Pima Rd,3,4,11,22,N Pima Rd - 2xxx,"(17.999, 24.0]"
24.0,2320,Speed Greater Than R&P or Posted,L101 / E Shea Bl,3,3,12,23,L101 / E Shea Bl -  xxx,"(17.999, 24.0]"
52.0,1450,Failure to Control Speed to Avoid A Collision,N Frank Lloyd Wright Bl,3,0,13,14,N Frank Lloyd Wright Bl - 1xxx,"(50.0, 97.0]"
34.0,6,DUI-Impaired to Slightest Degree,E Cactus Rd,3,6,12,0,E Cactus Rd - 6xxx,"(29.0, 37.0]"
