cited_person_age,citation_time,charge_description,street,month,day_of_week,week_of_year,hour_of_day,place_id,age_breaks
28.0,529,Speed Greater Than R&P or Posted,E McDowell Rd,11,3,45,5,E McDowell Rd - 6xxx,"(24.0, 29.0]"
43.0,858,Speed Greater Than R&P or Posted,E McDonald DR,11,0,45,8,E McDonald DR - 8xxx,"(37.0, 50.0]"
61.0,1051,Speed Greater Than R&P or Posted,N 136th St,11,1,45,10,N 136th St - 1xxx,"(50.0, 97.0]"
71.0,1835,Failure to Control Speed to Avoid A Collision,E Frank Lloyd Wright Bl / N Scottsdale Rd,11,1,46,18,E Frank Lloyd Wright Bl / N Scottsdale Rd -  xxx,"(50.0, 97.0]"
39.0,2223,Speed Greater Than R&P or Posted,E Indian School Rd,11,3,45,22,E Indian School Rd - 8xxx,"(37.0, 50.0]"
28.0,941,Fail to Obey Traffic Control Device,E Indian School Rd,11,3,45,9,E Indian School Rd - 8xxx,"(24.0, 29.0]"
86.0,1433,Failure to Control Speed to Avoid A Collision,N Scottsdale Rd,11,4,46,14,N Scottsdale Rd - 1xxx,"(50.0, 97.0]"
23.0,1646,Drug Paraphernalia-Possess/Use,E Osborn Rd,11,4,46,16,E Osborn Rd - 6xxx,"(17.999, 24.0]"
33.0,0,DUI-Impaired to Slightest Degree,E Indian School Rd,11,4,46,0,E Indian School Rd - 7xxx,"(29.0, 37.0]"
48.0,2334,DUI-Impaired to Slightest Degree,N Saddlebag Tr,11,4,46,23,N Saddlebag Tr - 4xxx,"(37.0, 50.0]"
27.0,811,Drug Paraphernalia-Possess/Use,E McDowell Rd,11,5,46,8,E McDowell Rd - 7xxx,"(24.0, 29.0]"
30.0,1206,Drug Paraphernalia-Possess/Use,E Shea Bl,11,5,46,12,E Shea Bl - 8xxx,"(29.0, 37.0]"
31.0,2236,DUI-Impaired to Slightest Degree,E Indian School Rd,11,4,46,22,E Indian School Rd - 7xxx,"(29.0, 37.0]"
35.0,2128,Suspended/Revoked D.L.,E Frank Lloyd Wright Bl / N Hayden Rd,11,5,46,21,E Frank Lloyd Wright Bl / N Hayden Rd -  xxx,"(29.0, 37.0]"
35.0,27,Suspended/Revoked D.L.,E Camelback Rd / N Saddlebag Tr,11,6,46,0,E Camelback Rd / N Saddlebag Tr -  xxx,"(29.0, 37.0]"
58.0,24,DUI-Impaired to Slightest Degree,N Scottsdale Rd,11,6,46,0,N Scottsdale Rd - 2xxx,"(50.0, 97.0]"
37.0,245,DUI-Impaired to Slightest Degree,E Indian School Rd,11,6,46,2,E Indian School Rd - 8xxx,"(29.0, 37.0]"
26.0,1346,Drug Paraphernalia-Possess/Use,E Raintree DR,11,6,46,13,E Raintree DR - 9xxx,"(24.0, 29.0]"
28.0,2211,Drug Paraphernalia-Possess/Use,E Camelback Rd,11,6,46,22,E Camelback Rd - 7xxx,"(24.0, 29.0]"
39.0,122,DUI-Impaired to Slightest Degree,E Shea Bl,11,0,47,1,E Shea Bl - 8xxx,"(37.0, 50.0]"
25.0,248,Drug Paraphernalia-Possess/Use,N Scottsdale Rd,11,0,47,2,N Scottsdale Rd - 2xxx,"(24.0, 29.0]"
25.0,1237,Speed Greater Than R&P or Posted,N 64th St,11,2,45,12,N 64th St - 2xxx,"(24.0, 29.0]"
39.0,903,Speed Greater Than R&P or Posted,N Miller Rd,11,3,45,9,N Miller Rd - 1xxx,"(37.0, 50.0]"
25.0,944,Speed Greater Than R&P or Posted,E Indian Bend Rd,11,1,45,9,E Indian Bend Rd - 7xxx,"(24.0, 29.0]"
46.0,956,Speed Greater Than R&P or Posted,E Indian Bend Rd,11,1,45,9,E Indian Bend Rd - 7xxx,"(37.0, 50.0]"
18.0,2305,No Proof of Insurance,E Frank Lloyd Wright Bl / N Scottsdale Rd,11,3,45,23,E Frank Lloyd Wright Bl / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
31.0,1138,Speed Greater Than R&P or Posted,E Via Linda,11,2,45,11,E Via Linda - 1xxx,"(29.0, 37.0]"
46.0,850,Speed Greater Than R&P or Posted,E Indian Bend Rd,11,4,45,8,E Indian Bend Rd - 7xxx,"(37.0, 50.0]"
24.0,1446,Expired/No Arizona Registration,E Thomas Rd,11,2,45,14,E Thomas Rd - 7xxx,"(17.999, 24.0]"
27.0,901,Speed Greater Than R&P or Posted,E Indian Bend Rd,11,4,45,9,E Indian Bend Rd - 7xxx,"(24.0, 29.0]"
50.0,1555,Fail to Obey Traffic Control Device,N Hayden Rd / E Thomas Rd,11,2,45,15,N Hayden Rd / E Thomas Rd -  xxx,"(37.0, 50.0]"
22.0,915,Speed Greater Than R&P or Posted,E Indian Bend Rd,11,4,45,9,E Indian Bend Rd - 7xxx,"(17.999, 24.0]"
68.0,1042,Speed Greater Than R&P or Posted,N 136th St,11,2,45,10,N 136th St - 1xxx,"(50.0, 97.0]"
61.0,849,No Proof of Insurance,E Thomas Rd,11,1,45,8,E Thomas Rd - 7xxx,"(50.0, 97.0]"
35.0,1525,Speed Greater Than R&P or Posted,N 136th St,11,2,45,15,N 136th St - 1xxx,"(29.0, 37.0]"
21.0,927,Speed Greater Than R&P or Posted,E Indian Bend Rd,11,4,45,9,E Indian Bend Rd - 7xxx,"(17.999, 24.0]"
40.0,1343,Speed Greater Than R&P or Posted,E Indian Bend Rd,11,2,45,13,E Indian Bend Rd - 7xxx,"(37.0, 50.0]"
32.0,805,Speed Greater Than R&P or Posted,N Thompson Peak Py,11,4,45,8,N Thompson Peak Py - 1xxx,"(29.0, 37.0]"
40.0,816,Speed Greater Than R&P or Posted,N Thompson Peak Py,11,4,45,8,N Thompson Peak Py - 1xxx,"(37.0, 50.0]"
26.0,740,Expired/No Arizona Registration,E McDowell Rd,11,2,45,7,E McDowell Rd - 6xxx,"(24.0, 29.0]"
50.0,826,Speed Greater Than R&P or Posted,N Thompson Peak Py,11,4,45,8,N Thompson Peak Py - 1xxx,"(37.0, 50.0]"
46.0,759,Fail to Obey Traffic Control Device,N Scottsdale Rd,11,0,45,7,N Scottsdale Rd - 2xxx,"(37.0, 50.0]"
80.0,939,Fail to Obey Traffic Control Device,E Shea Bl,11,0,45,9,E Shea Bl - 8xxx,"(50.0, 97.0]"
35.0,1012,Speed Greater Than R&P or Posted,N Thompson Peak Py,11,4,45,10,N Thompson Peak Py - 1xxx,"(29.0, 37.0]"
39.0,935,Expired/No Arizona Registration,N Hayden Rd,11,3,45,9,N Hayden Rd - 4xxx,"(37.0, 50.0]"
20.0,858,Speed Greater Than R&P or Posted,E Thomas Rd,11,6,44,8,E Thomas Rd - 6xxx,"(17.999, 24.0]"
38.0,933,No Proof of Insurance,N Scottsdale Rd,11,1,45,9,N Scottsdale Rd - 1xxx,"(37.0, 50.0]"
39.0,827,Speed Greater Than R&P or Posted,E Thomas Rd,11,6,44,8,E Thomas Rd - 6xxx,"(37.0, 50.0]"
64.0,901,No Proof of Insurance,E Shea Bl,11,1,45,9,E Shea Bl - 8xxx,"(50.0, 97.0]"
32.0,719,No Proof of Insurance,N Scottsdale Rd,11,1,45,7,N Scottsdale Rd - 1xxx,"(29.0, 37.0]"
25.0,1300,Speed Greater Than R&P or Posted,E Indian Bend Rd,11,0,46,13,E Indian Bend Rd - 7xxx,"(24.0, 29.0]"
36.0,1503,Drug Paraphernalia-Possess/Use,E Shea Bl,11,0,47,15,E Shea Bl - 8xxx,"(29.0, 37.0]"
26.0,1805,Failure to Control Speed to Avoid A Collision,E Chaparral Rd,11,0,47,18,E Chaparral Rd - 7xxx,"(24.0, 29.0]"
45.0,2218,Suspended/Revoked D.L.,E Thomas Rd,11,0,47,22,E Thomas Rd - 7xxx,"(37.0, 50.0]"
24.0,1,DUI-Impaired to Slightest Degree,E Indian School Rd,11,1,47,0,E Indian School Rd - 7xxx,"(17.999, 24.0]"
27.0,112,DUI-Impaired to Slightest Degree,E McDowell Rd,11,1,47,1,E McDowell Rd - 7xxx,"(24.0, 29.0]"
21.0,129,DUI-Impaired to Slightest Degree,E Camelback Rd,4,4,15,1,E Camelback Rd - 7xxx,"(17.999, 24.0]"
19.0,110,Drug Paraphernalia-Possess/Use,N Thompson Peak Py,4,0,16,1,N Thompson Peak Py - 1xxx,"(17.999, 24.0]"
24.0,232,DUI-Impaired to Slightest Degree,E Camelback Rd,4,6,15,2,E Camelback Rd - 7xxx,"(17.999, 24.0]"
41.0,931,Speed Greater Than R&P or Posted,N 90th St,4,3,15,9,N 90th St - 1xxx,"(37.0, 50.0]"
27.0,650,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,4,14,6,N Scottsdale Rd - 8xxx,"(24.0, 29.0]"
39.0,942,Speed Greater Than R&P or Posted,N 90th St,4,3,15,9,N 90th St - 1xxx,"(37.0, 50.0]"
31.0,1337,Speed Greater Than R&P or Posted,E Chaparral Rd,4,4,14,13,E Chaparral Rd - 7xxx,"(29.0, 37.0]"
23.0,1353,Speed Greater Than R&P or Posted,E Chaparral Rd,4,4,14,13,E Chaparral Rd - 7xxx,"(17.999, 24.0]"
31.0,1656,Expired/No Arizona Registration,E McDowell Rd,4,2,15,16,E McDowell Rd - 8xxx,"(29.0, 37.0]"
31.0,2233,Speed Greater Than R&P or Posted,N Hayden Rd / E Legacy Bl,4,4,14,22,N Hayden Rd / E Legacy Bl -  xxx,"(29.0, 37.0]"
53.0,740,Expired/No Arizona Registration,N Miller Rd,4,1,15,7,N Miller Rd - 3xxx,"(50.0, 97.0]"
18.0,2103,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,5,14,21,N Scottsdale Rd - 8xxx,"(17.999, 24.0]"
45.0,816,Speed Greater Than R&P or Posted,N 68th St,4,2,15,8,N 68th St - 3xxx,"(37.0, 50.0]"
44.0,715,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,4,14,7,N Scottsdale Rd - 8xxx,"(37.0, 50.0]"
28.0,2246,Expired/No Arizona Registration,N Miller Rd,4,1,14,22,N Miller Rd - 4xxx,"(24.0, 29.0]"
22.0,802,Expired/No Arizona Registration,E McDowell Rd / N Scottsdale Rd,4,4,14,8,E McDowell Rd / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
56.0,130,Fail to Obey Traffic Control Device,E Frank Lloyd Wright Bl / L101,4,5,14,1,E Frank Lloyd Wright Bl / L101 -  xxx,"(50.0, 97.0]"
24.0,1420,Speed Greater Than R&P or Posted,N Miller Rd,4,4,14,14,N Miller Rd - 7xxx,"(17.999, 24.0]"
33.0,1,Speed Greater Than R&P or Posted,E Chaparral Rd,4,5,14,0,E Chaparral Rd - 7xxx,"(29.0, 37.0]"
33.0,1811,Speed Greater Than R&P or Posted,E Frank Lloyd Wright Bl,4,2,14,18,E Frank Lloyd Wright Bl - 8xxx,"(29.0, 37.0]"
29.0,1402,Speed Greater Than R&P or Posted,N 64th St,4,4,14,14,N 64th St - 2xxx,"(24.0, 29.0]"
30.0,1437,Speed Greater Than R&P or Posted,N 64th St,4,4,14,14,N 64th St - 2xxx,"(29.0, 37.0]"
50.0,1,Speed Greater Than R&P or Posted,N Pima Rd,4,6,14,0,N Pima Rd - 1xxx,"(37.0, 50.0]"
25.0,2331,Speed Greater Than R&P or Posted,N Pima Rd,4,5,14,23,N Pima Rd - 1xxx,"(24.0, 29.0]"
27.0,828,Expired/No Arizona Registration,N Scottsdale Rd / E Shea Bl,4,5,14,8,N Scottsdale Rd / E Shea Bl -  xxx,"(24.0, 29.0]"
30.0,1515,Speed Greater Than R&P or Posted,E Mountain View Rd,4,5,14,15,E Mountain View Rd - 7xxx,"(29.0, 37.0]"
39.0,1541,Speed Greater Than R&P or Posted,E Indian Bend Rd,4,6,14,15,E Indian Bend Rd - 7xxx,"(37.0, 50.0]"
25.0,1125,Failure to Control Speed to Avoid A Collision,E Chaparral Rd,4,0,16,11,E Chaparral Rd - 8xxx,"(24.0, 29.0]"
26.0,1347,Drug Paraphernalia-Possess/Use,E Frank Lloyd Wright Bl,4,0,16,13,E Frank Lloyd Wright Bl - 8xxx,"(24.0, 29.0]"
27.0,1347,Drug Paraphernalia-Possess/Use,E Frank Lloyd Wright Bl,4,0,16,13,E Frank Lloyd Wright Bl - 8xxx,"(24.0, 29.0]"
59.0,1649,Suspended/Revoked D.L.,N Northsight Bl,4,5,15,16,N Northsight Bl - 1xxx,"(50.0, 97.0]"
25.0,759,Speed Greater Than R&P or Posted,N Hayden Rd,4,0,15,7,N Hayden Rd - 1xxx,"(24.0, 29.0]"
75.0,2211,Fail to Stop For Red Signal,E Indian Bend Rd,4,5,14,22,E Indian Bend Rd - 7xxx,"(50.0, 97.0]"
60.0,1641,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,6,14,16,N Scottsdale Rd - 2xxx,"(50.0, 97.0]"
53.0,1445,Speed Greater Than R&P or Posted,E Mountain View Rd,4,0,15,14,E Mountain View Rd - 9xxx,"(50.0, 97.0]"
23.0,2350,Speed Greater Than R&P or Posted,N Pima Rd,4,5,14,23,N Pima Rd - 2xxx,"(17.999, 24.0]"
55.0,1251,Speed Greater Than R&P or Posted,N Frank Lloyd Wright Bl,4,0,15,12,N Frank Lloyd Wright Bl - 1xxx,"(50.0, 97.0]"
66.0,909,Speed Greater Than R&P or Posted,N 90th St,4,3,15,9,N 90th St - 1xxx,"(50.0, 97.0]"
46.0,1305,No Proof of Insurance,N Frank Lloyd Wright Bl,4,0,15,13,N Frank Lloyd Wright Bl - 1xxx,"(37.0, 50.0]"
44.0,920,Speed Greater Than R&P or Posted,N 90th St,4,3,15,9,N 90th St - 1xxx,"(37.0, 50.0]"
21.0,1521,Expired/No Arizona Registration,E McDowell Rd,4,2,15,15,E McDowell Rd - 6xxx,"(17.999, 24.0]"
31.0,1825,Speed Greater Than R&P or Posted,E McKellips Rd,4,2,15,18,E McKellips Rd - 7xxx,"(29.0, 37.0]"
20.0,2259,Speed Greater Than R&P or Posted,E Shea Bl,4,2,15,22,E Shea Bl - 7xxx,"(17.999, 24.0]"
20.0,2259,Speed Greater Than R&P or Posted,E Shea Bl,4,2,15,22,E Shea Bl - 7xxx,"(17.999, 24.0]"
52.0,840,Speed Greater Than R&P or Posted,E Indian Bend Rd,4,3,15,8,E Indian Bend Rd - 7xxx,"(50.0, 97.0]"
61.0,911,Speed Greater Than R&P or Posted,E McKellips Rd,4,3,15,9,E McKellips Rd - 8xxx,"(50.0, 97.0]"
44.0,804,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,5,14,8,N Scottsdale Rd - 1xxx,"(37.0, 50.0]"
47.0,10,No Proof of Insurance,E Thomas Rd,4,6,14,0,E Thomas Rd - 6xxx,"(37.0, 50.0]"
18.0,921,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,5,14,9,N Scottsdale Rd - 1xxx,"(17.999, 24.0]"
28.0,1440,Speed Greater Than R&P or Posted,E McDowell Rd,4,5,14,14,E McDowell Rd - 6xxx,"(24.0, 29.0]"
30.0,915,Fail to Obey Traffic Control Device,N Scottsdale Rd,4,6,14,9,N Scottsdale Rd - 2xxx,"(29.0, 37.0]"
19.0,952,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,5,14,9,N Scottsdale Rd - 1xxx,"(17.999, 24.0]"
19.0,1205,Expired/No Arizona Registration,E Frank Lloyd Wright Bl / L101,4,6,14,12,E Frank Lloyd Wright Bl / L101 -  xxx,"(17.999, 24.0]"
38.0,59,Speed Greater Than R&P or Posted,E Indian School Rd,4,0,15,0,E Indian School Rd - 7xxx,"(37.0, 50.0]"
37.0,1004,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,5,14,10,N Scottsdale Rd - 1xxx,"(29.0, 37.0]"
21.0,2030,Expired/No Arizona Registration,E Camelback Rd / N Scottsdale Rd,4,5,14,20,E Camelback Rd / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
46.0,751,Expired/No Arizona Registration,N Scottsdale Rd,4,5,14,7,N Scottsdale Rd - 1xxx,"(37.0, 50.0]"
20.0,1900,No Proof of Insurance,N Scottsdale Rd,4,6,14,19,N Scottsdale Rd - 1xxx,"(17.999, 24.0]"
19.0,1242,Speed Greater Than R&P or Posted,E Mountain View Rd,4,6,14,12,E Mountain View Rd - 1xxx,"(17.999, 24.0]"
18.0,1317,Speed Greater Than R&P or Posted,E Mountain View Rd,4,6,14,13,E Mountain View Rd - 1xxx,"(17.999, 24.0]"
18.0,1550,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,6,14,15,N Scottsdale Rd - 8xxx,"(17.999, 24.0]"
48.0,1406,Speed Greater Than R&P or Posted,E Mountain View Rd,4,6,14,14,E Mountain View Rd - 1xxx,"(37.0, 50.0]"
22.0,1909,Speed Greater Than R&P or Posted,N Scottsdale Rd,4,6,14,19,N Scottsdale Rd - 8xxx,"(17.999, 24.0]"
21.0,340,No Proof of Insurance,E Camelback Rd / N Saddlebag Tr,4,2,15,3,E Camelback Rd / N Saddlebag Tr -  xxx,"(17.999, 24.0]"
25.0,1209,Expired/No Arizona Registration,N Hayden Rd / E Thomas Rd,4,0,15,12,N Hayden Rd / E Thomas Rd -  xxx,"(24.0, 29.0]"
21.0,125,No Proof of Insurance,N Hayden Rd / E McDowell Rd,4,0,15,1,N Hayden Rd / E McDowell Rd -  xxx,"(17.999, 24.0]"
67.0,1043,Speed Greater Than R&P or Posted,E McDowell Rd,4,6,14,10,E McDowell Rd - 6xxx,"(50.0, 97.0]"
21.0,1458,Expired/No Arizona Registration,N 64th St,4,0,15,14,N 64th St - 2xxx,"(17.999, 24.0]"
32.0,1810,Expired/No Arizona Registration,N Hayden Rd,4,6,14,18,N Hayden Rd - 4xxx,"(29.0, 37.0]"
30.0,740,Expired/No Arizona Registration,N Hayden Rd,4,0,15,7,N Hayden Rd - 2xxx,"(29.0, 37.0]"
40.0,1840,No Proof of Insurance,E Camelback Rd,4,0,15,18,E Camelback Rd - 7xxx,"(37.0, 50.0]"
29.0,1140,Expired/No Arizona Registration,N Miller Rd,4,0,15,11,N Miller Rd - 4xxx,"(24.0, 29.0]"
56.0,1642,Speed Greater Than R&P or Posted,E Frank Lloyd Wright Bl / L101,4,2,15,16,E Frank Lloyd Wright Bl / L101 -  xxx,"(50.0, 97.0]"
28.0,240,Drug Paraphernalia-Possess/Use,N Miller Rd,4,5,15,2,N Miller Rd - 4xxx,"(24.0, 29.0]"
31.0,1050,Fail to Stop For Red Signal,E Oak St,4,1,16,10,E Oak St - 8xxx,"(29.0, 37.0]"
29.0,844,Failure to Control Speed to Avoid A Collision,E McDowell Rd,4,1,16,8,E McDowell Rd - 7xxx,"(24.0, 29.0]"
53.0,1045,Failure to Control Speed to Avoid A Collision,N Northsight Bl,4,1,16,10,N Northsight Bl - 1xxx,"(50.0, 97.0]"
25.0,1540,Drug Paraphernalia-Possess/Use,N Hayden Rd,4,1,16,15,N Hayden Rd - 1xxx,"(24.0, 29.0]"
24.0,1639,Suspended/Revoked D.L.,E Thomas Rd,4,1,16,16,E Thomas Rd - 7xxx,"(17.999, 24.0]"
40.0,2151,DUI-Impaired to Slightest Degree,E Frank Lloyd Wright Bl,4,1,16,21,E Frank Lloyd Wright Bl - 7xxx,"(37.0, 50.0]"
24.0,2331,DUI-Impaired to Slightest Degree,E Indian School Rd,4,1,16,23,E Indian School Rd - 8xxx,"(17.999, 24.0]"
30.0,2253,DUI-Impaired to Slightest Degree,E Shea Bl,4,1,16,22,E Shea Bl - 6xxx,"(29.0, 37.0]"
27.0,2222,Drug Paraphernalia-Possess/Use,L101 / E Shea Bl,4,1,16,22,L101 / E Shea Bl -  xxx,"(24.0, 29.0]"
23.0,922,Speed Greater Than R&P or Posted,N Hayden Rd,4,3,15,9,N Hayden Rd - 8xxx,"(17.999, 24.0]"
25.0,939,Speed Greater Than R&P or Posted,N Hayden Rd,4,3,15,9,N Hayden Rd - 8xxx,"(24.0, 29.0]"
46.0,951,Speed Greater Than R&P or Posted,N Hayden Rd,4,3,15,9,N Hayden Rd - 8xxx,"(37.0, 50.0]"
59.0,1000,Speed Greater Than R&P or Posted,N Hayden Rd,4,3,15,10,N Hayden Rd - 8xxx,"(50.0, 97.0]"
55.0,1011,Speed Greater Than R&P or Posted,N Hayden Rd,4,3,15,10,N Hayden Rd - 8xxx,"(50.0, 97.0]"
54.0,1029,Speed Greater Than R&P or Posted,N Hayden Rd,4,3,15,10,N Hayden Rd - 8xxx,"(50.0, 97.0]"
34.0,1227,Speed Greater Than R&P or Posted,N Hayden Rd,4,0,15,12,N Hayden Rd - 1xxx,"(29.0, 37.0]"
19.0,1314,Speed Greater Than R&P or Posted,N Hayden Rd,4,0,15,13,N Hayden Rd - 1xxx,"(17.999, 24.0]"
47.0,1436,Expired/No Arizona Registration,E McDowell Rd,4,3,15,14,E McDowell Rd - 8xxx,"(37.0, 50.0]"
29.0,1515,Fail to Obey Traffic Control Device,E Osborn Rd,4,3,15,15,E Osborn Rd - 8xxx,"(24.0, 29.0]"
34.0,1924,Expired/No Arizona Registration,E Frank Lloyd Wright Bl / N Scottsdale Rd,4,2,15,19,E Frank Lloyd Wright Bl / N Scottsdale Rd -  xxx,"(29.0, 37.0]"
24.0,1336,Fail to Stop For Red Signal,E McDowell Rd / N Scottsdale Rd,4,3,15,13,E McDowell Rd / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
46.0,1637,Fail to Stop For Red Signal,E Redfield Rd,4,2,15,16,E Redfield Rd - 7xxx,"(37.0, 50.0]"
46.0,1825,Expired/No Arizona Registration,E Shea Bl,4,3,15,18,E Shea Bl - 7xxx,"(37.0, 50.0]"
25.0,2120,Expired/No Arizona Registration,L101 / E Shea Bl,4,2,15,21,L101 / E Shea Bl -  xxx,"(24.0, 29.0]"
55.0,2240,Expired/No Arizona Registration,E Frank Lloyd Wright Bl / N Scottsdale Rd,4,3,15,22,E Frank Lloyd Wright Bl / N Scottsdale Rd -  xxx,"(50.0, 97.0]"
58.0,1838,No Proof of Insurance,L101 / E Shea Bl,4,3,15,18,L101 / E Shea Bl -  xxx,"(50.0, 97.0]"
25.0,508,Speed Greater Than R&P or Posted,N Pima Rd,4,4,15,5,N Pima Rd - 2xxx,"(24.0, 29.0]"
64.0,1000,Failure to Control Speed to Avoid A Collision,E Frank Lloyd Wright Bl / L101,4,2,16,10,E Frank Lloyd Wright Bl / L101 -  xxx,"(50.0, 97.0]"
22.0,2313,No Proof of Insurance,N Scottsdale Rd,11,4,45,23,N Scottsdale Rd - 2xxx,"(17.999, 24.0]"
34.0,804,Speed Greater Than R&P or Posted,E Via Linda,11,3,45,8,E Via Linda - 1xxx,"(29.0, 37.0]"
56.0,2345,Speed Greater Than R&P or Posted,N Miller Rd,11,4,45,23,N Miller Rd - 2xxx,"(50.0, 97.0]"
21.0,1905,Expired/No Arizona Registration,E Frank Lloyd Wright Bl / N Scottsdale Rd,11,4,45,19,E Frank Lloyd Wright Bl / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
53.0,1346,No Proof of Insurance,E McDowell Rd / N Scottsdale Rd,11,5,45,13,E McDowell Rd / N Scottsdale Rd -  xxx,"(50.0, 97.0]"
19.0,208,Drug Paraphernalia-Possess/Use,E McDowell Rd / N Scottsdale Rd,11,3,45,2,E McDowell Rd / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
37.0,1222,Speed Greater Than R&P or Posted,N Pima Rd,11,5,45,12,N Pima Rd - 2xxx,"(29.0, 37.0]"
43.0,31,Speed Greater Than R&P or Posted,N Scottsdale Rd,11,6,45,0,N Scottsdale Rd - 7xxx,"(37.0, 50.0]"
19.0,1706,Failure to Control Speed to Avoid A Collision,N Hayden Rd,11,1,47,17,N Hayden Rd - 3xxx,"(17.999, 24.0]"
36.0,1816,DUI-Impaired to Slightest Degree,N 64th St,11,1,47,18,N 64th St - 4xxx,"(29.0, 37.0]"
37.0,1815,Suspended/Revoked D.L.,N Scottsdale Rd / E Thomas Rd,11,1,47,18,N Scottsdale Rd / E Thomas Rd -  xxx,"(29.0, 37.0]"
22.0,208,DUI-Impaired to Slightest Degree,E Indian School Rd,11,2,47,2,E Indian School Rd - 7xxx,"(17.999, 24.0]"
18.0,2206,Speed Greater Than R&P or Posted,N Hayden Rd / E Legacy Bl,11,6,45,22,N Hayden Rd / E Legacy Bl -  xxx,"(17.999, 24.0]"
19.0,1420,Speed Greater Than R&P or Posted,N Thompson Peak Py,11,0,46,14,N Thompson Peak Py - 1xxx,"(17.999, 24.0]"
23.0,2254,No Proof of Insurance,E McDowell Rd,11,6,45,22,E McDowell Rd - 7xxx,"(17.999, 24.0]"
46.0,105,Speed Greater Than R&P or Posted,E Indian School Rd,11,0,46,1,E Indian School Rd - 7xxx,"(37.0, 50.0]"
46.0,1920,Expired/No Arizona Registration,E Indian School Rd,11,0,46,19,E Indian School Rd - 7xxx,"(37.0, 50.0]"
33.0,1715,Expired/No Arizona Registration,N Hayden Rd,11,0,46,17,N Hayden Rd - 1xxx,"(29.0, 37.0]"
52.0,1527,Speed Greater Than R&P or Posted,E Mountain View Rd,11,0,46,15,E Mountain View Rd - 1xxx,"(50.0, 97.0]"
19.0,914,Speed Greater Than R&P or Posted,E Indian School Rd,11,0,46,9,E Indian School Rd - 6xxx,"(17.999, 24.0]"
28.0,845,Speed Greater Than R&P or Posted,E Indian School Rd,11,0,46,8,E Indian School Rd - 6xxx,"(24.0, 29.0]"
53.0,1441,Speed Greater Than R&P or Posted,E Via Linda,11,0,46,14,E Via Linda - 1xxx,"(50.0, 97.0]"
25.0,815,Expired/No Arizona Registration,N Hayden Rd,11,0,46,8,N Hayden Rd - 4xxx,"(24.0, 29.0]"
38.0,2219,Expired/No Arizona Registration,N Scottsdale Rd,11,0,46,22,N Scottsdale Rd - 1xxx,"(37.0, 50.0]"
23.0,942,Speed Greater Than R&P or Posted,E Indian Bend Rd,11,0,46,9,E Indian Bend Rd - 7xxx,"(17.999, 24.0]"
22.0,2325,Speed Greater Than R&P or Posted,N Scottsdale Rd,11,0,46,23,N Scottsdale Rd - 2xxx,"(17.999, 24.0]"
34.0,1506,Failure to Control Speed to Avoid A Collision,N Scottsdale Rd,11,2,47,15,N Scottsdale Rd - 4xxx,"(29.0, 37.0]"
24.0,2317,DUI-Impaired to Slightest Degree,E Indian School Rd,11,5,46,23,E Indian School Rd - 7xxx,"(17.999, 24.0]"
21.0,1748,Failure to Control Speed to Avoid A Collision,N Scottsdale Rd,11,2,47,17,N Scottsdale Rd - 4xxx,"(17.999, 24.0]"
49.0,2155,DUI-Impaired to Slightest Degree,N Scottsdale Rd,11,2,47,21,N Scottsdale Rd - 1xxx,"(37.0, 50.0]"
30.0,125,Suspended/Revoked D.L.,E Indian School Rd,11,3,47,1,E Indian School Rd - 8xxx,"(29.0, 37.0]"
23.0,224,Suspended/Revoked D.L.,E Camelback Rd / N Scottsdale Rd,11,3,47,2,E Camelback Rd / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
50.0,2143,Expired/No Arizona Registration,E Frank Lloyd Wright Bl / N Scottsdale Rd,11,2,46,21,E Frank Lloyd Wright Bl / N Scottsdale Rd -  xxx,"(37.0, 50.0]"
19.0,420,Speed Greater Than R&P or Posted,N Hayden Rd / E Indian School Rd,11,1,46,4,N Hayden Rd / E Indian School Rd -  xxx,"(17.999, 24.0]"
35.0,830,Speed Greater Than R&P or Posted,N Hayden Rd,11,0,46,8,N Hayden Rd - 4xxx,"(29.0, 37.0]"
41.0,933,Speed Greater Than R&P or Posted,N Scottsdale Rd,11,0,46,9,N Scottsdale Rd - 2xxx,"(37.0, 50.0]"
38.0,1515,Speed Greater Than R&P or Posted,E Chaparral Rd,11,2,46,15,E Chaparral Rd - 7xxx,"(37.0, 50.0]"
52.0,733,Speed Greater Than R&P or Posted,N 100th St,11,2,46,7,N 100th St - 1xxx,"(50.0, 97.0]"
